case,csa_total,aspect,str_ratio,throat,cabang_w_mm,cabang_h_mm,str_radius_mm,port_vol_mm3
csa560_asp100_str30,560.0,1.0,0.3,20.2,17.45,17.45,5.23,21002.0
csa560_asp100_str40,560.0,1.0,0.4,20.2,17.45,17.45,6.98,20991.2
csa560_asp100_str55,560.0,1.0,0.55,20.2,17.45,17.45,9.6,20993.6
csa560_asp114_str30,560.0,1.15,0.3,20.2,16.27,18.71,5.61,20990.1
csa560_asp114_str40,560.0,1.15,0.4,20.2,16.27,18.71,7.48,21005.1
csa560_asp114_str55,560.0,1.15,0.55,20.2,16.27,18.71,10.29,21008.0
csa560_asp130_str30,560.0,1.3,0.3,20.2,15.3,19.89,5.97,20991.6
csa560_asp130_str40,560.0,1.3,0.4,20.2,15.3,19.89,7.96,20992.9
csa560_asp130_str55,560.0,1.3,0.55,20.2,15.3,19.89,10.94,20995.9
csa560_asp145_str30,560.0,1.45,0.3,20.2,14.49,21.01,6.3,21005.1
csa560_asp145_str40,560.0,1.45,0.4,20.2,14.49,21.01,8.4,20994.6
csa560_asp145_str55,560.0,1.45,0.55,20.2,14.49,21.01,11.55,21010.3
csa615_asp100_str30,615.0,1.0,0.3,20.2,18.28,18.28,5.48,21972.8
csa615_asp100_str40,615.0,1.0,0.4,20.2,18.28,18.28,7.31,21973.6
csa615_asp100_str55,615.0,1.0,0.55,20.2,18.28,18.28,10.06,21974.7
csa615_asp114_str30,615.0,1.15,0.3,20.2,17.05,19.61,5.88,21969.1
csa615_asp114_str40,615.0,1.15,0.4,20.2,17.05,19.61,7.84,21969.9
csa615_asp114_str55,615.0,1.15,0.55,20.2,17.05,19.61,10.78,21971.0
csa615_asp130_str30,615.0,1.3,0.3,20.2,16.03,20.84,6.25,21973.7
csa615_asp130_str40,615.0,1.3,0.4,20.2,16.03,20.84,8.34,21970.4
csa615_asp130_str55,615.0,1.3,0.55,20.2,16.03,20.84,11.46,21975.8
csa615_asp145_str30,615.0,1.45,0.3,20.2,15.18,22.01,6.6,21965.8
csa615_asp145_str40,615.0,1.45,0.4,20.2,15.18,22.01,8.81,21966.5
csa615_asp145_str55,615.0,1.45,0.55,20.2,15.18,22.01,12.11,21971.9
csa665_asp100_str30,665.0,1.0,0.3,20.2,19.01,19.01,5.7,22858.5
csa665_asp100_str40,665.0,1.0,0.4,20.2,19.01,19.01,7.6,22854.2
csa665_asp100_str55,665.0,1.0,0.55,20.2,19.01,19.01,10.46,22861.6
csa665_asp114_str30,665.0,1.15,0.3,20.2,17.73,20.39,6.12,22854.7
csa665_asp114_str40,665.0,1.15,0.4,20.2,17.73,20.39,8.15,22858.0
csa665_asp114_str55,665.0,1.15,0.55,20.2,17.73,20.39,11.21,22857.4
csa665_asp130_str30,665.0,1.3,0.3,20.2,16.67,21.68,6.5,22861.8
csa665_asp130_str40,665.0,1.3,0.4,20.2,16.67,21.68,8.67,22854.0
csa665_asp130_str55,665.0,1.3,0.55,20.2,16.67,21.68,11.92,22861.2
csa665_asp145_str30,665.0,1.45,0.3,20.2,15.79,22.89,6.87,22858.0
csa665_asp145_str40,665.0,1.45,0.4,20.2,15.79,22.89,9.16,22857.9
csa665_asp145_str55,665.0,1.45,0.55,20.2,15.79,22.89,12.59,22857.0
